Lot ID,Category,Subcategory,Estimate,Has Bid,Current Time,New Time,Status,Details,Rule ID
1748,Stock & rolling,Metal stock,2500.00,False,17:40:00,17:26,Updated,Time changed,4
1749,Stock & rolling,Metal stock,2500.00,False,17:40:00,17:15,Updated,Time changed,4
1750,Stock & rolling,Metal stock,2500.00,False,17:18:00,17:19,Updated,Time changed,4
1751,Stock & rolling,Metal stock,2500.00,False,17:14:00,17:31,Updated,Time changed,4
1752,Stock & rolling,Metal stock,2500.00,False,17:51:00,17:02,Updated,Time changed,4
1753,Stock & rolling,Metal stock,2500.00,False,17:20:00,17:49,Updated,Time changed,4
1754,Stock & rolling,Metal stock,2500.00,False,17:01:00,17:26,Updated,Time changed,4
1755,Stock & rolling,Metal stock,2500.00,False,17:59:00,17:21,Updated,Time changed,4
1756,Stock & rolling,racking,250.00,False,17:42:00,17:19,Updated,Time changed,4
1757,Stock & rolling,racking,250.00,False,17:38:00,17:30,Updated,Time changed,4
1758,Stock & rolling,racking,250.00,False,17:31:00,17:22,Updated,Time changed,4
1759,Stock & rolling,racking,250.00,True,17:40:00,17:56,Updated,Time changed,4
1760,Stock & rolling,racking,250.00,False,17:10:00,17:19,Updated,Time changed,4
1761,Stock & rolling,racking,250.00,False,17:14:00,17:12,Updated,Time changed,4
1762,Stock & rolling,racking,250.00,False,17:14:00,17:04,Updated,Time changed,4
1763,Stock & rolling,racking,250.00,False,17:16:00,17:45,Updated,Time changed,4
1764,Stock & rolling,racking,250.00,False,17:57:00,17:07,Updated,Time changed,4
1765,Stock & rolling,racking,250.00,False,17:23:00,17:46,Updated,Time changed,4
1766,Stock & rolling,racking,250.00,False,17:57:00,17:20,Updated,Time changed,4
1767,Stock & rolling,racking,250.00,False,17:16:00,17:54,Updated,Time changed,4
1768,Stock & rolling,racking,250.00,False,17:01:00,17:40,Updated,Time changed,4
1769,Stock & rolling,racking,250.00,False,17:08:00,17:14,Updated,Time changed,4
1770,Stock & rolling,racking,250.00,False,17:22:00,17:59,Updated,Time changed,4
1771,Stock & rolling,racking,250.00,False,17:35:00,17:24,Updated,Time changed,4
1772,Stock & rolling,racking,250.00,False,17:01:00,17:59,Updated,Time changed,4
1773,Stock & rolling,racking,250.00,False,17:30:00,17:17,Updated,Time changed,4
1774,Stock & rolling,Workshop Inventory,150.00,False,17:34:00,17:22,Updated,Time changed,4
1775,Warm-up,Cleaning equipment,11.00,True,14:43:00,14:47,Updated,Time changed,1
1776,Stock & rolling,Metal stock,200.00,False,17:30:00,17:57,Updated,Time changed,4
1777,Stock & rolling,Workshop Inventory,60.00,True,17:07:00,17:56,Updated,Time changed,4
1778,Stock & rolling,Workshop Inventory,250.00,False,17:08:00,17:20,Updated,Time changed,4
1779,Stock & rolling,Workshop Inventory,50.00,False,17:18:00,17:07,Updated,Time changed,4
1780,Buffer zone,"Machine parts, tools & accessories",20.00,False,14:11:00,16:51,Updated,Time changed,6
1781,Stock & rolling,Workshop Inventory,100.00,True,17:54:00,17:18,Updated,Time changed,4
